WC Teams,Ethnic Origin StatsCan,Member ID: Profile of Census Tracts (2247)
Argentina,Argentinian,1451
Australia,Australian,1608
Belgium,Belgian,1371
Brazil,Brazilian,1454
Colombia,Colombian,1456
Costa Rica,Costa Rican,1457
Croatia,Croatian,1406
Denmark,Danish,1380
Egypt,Egyptian,1507
England,English,1357
France,French,1367
Germany,German,1375
Iceland,Icelandic,1382
Iran,Iranian,1550
Japan,Japanese,1593
Mexico,Mexican,1464
Morocco,Moroccan,1510
Nigeria,Nigerian,1494
Panama,Panamanian,1466
Peru,Peruvian,1468
Poland,Polish,1396
Portugal,Portuguese,1414
Russia,Russian,1398
Saudi Arabia,Saudi Arabian,1561
Senegal,Senegalese,1496
Serbia,Serbian,1415
South Korea,Korean,1595
Spain,Spanish,1418
Sweden,Swedish,1384
Switzerland,Swiss,1377
Tunisia,Tunisian,1512
Uruguay,Uruguayan,1470
All,Total - Ethnic origin for the population in private households - 25% sample data,1338
